"Case.Study.ID","weight","DEM","AvgTemp","AvgMonthlyPrec","ET","HANPP_Total","HANPP_LC","HANPP_NPP","Livestock","PA","Pop_dense","Pop_delta","GDP","HDI","Market_access","Market_density","Market_influence","Malnutrition","hf_score","hf_rank","pf_score","Mammals","HANPP_forest","HANPP_forest_harvest","HANPP_forest_new","HANPP_pasture","HANPP_pasture_harvest","HANPP_cropland","HANPP_cropland_harvest","tropical.broadleaf.evergreen","temperate.broadleaf.evergreen","broadleaf.deciduous","needleleaf.evergreen","needleleaf.deciduous","C3.grass","C3.crop","C3.pasture","C4.grass","C4.crop","C4.pasture","evergreen.shrubs","deciduous.shrubs","urban","lake","bare.soil","Fire_development_stage"
"100a",0.335668044158335,65,26.12249947,239,1364.5,0.124576087,0.054590702,984.8208012,498.7006707,0,0.278331876,0.016620576,12877.99414,0.544334471,0,0,1.090000033,77,7.012727273,76.63636364,7.511818182,177,0.078678021,0.079568595,0.06988325,0.109824929,0.058852388,0.095785002,0.022122644,0.036151774,0.621875584,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.183378175,0.000153914,1e-06,0.05286533,1e-06,0,0.074795745,0.030771501,"FALSE"
"102a",0.383032246708284,972,23.1902504,262,2070,0.118796794,0.089248048,675.9530112,267.7789638,0,59.20997238,7.469921112,2318.339355,0.398000002,0.010542,15703.6308,15.40608002,321.75,6.95,82,6.69,130,0.02121198,0.019265445,0.015622716,0.04192319,0.007741987,0.52233665,0.249483074,1e-06,0.404353052,1e-06,1e-06,1e-06,1e-06,1.75e-05,2.75e-06,1e-06,0.141981065,0.399971157,1e-06,1e-06,0,0,0.053666487,"TRUE"
"103a",1.5411415102851,76,25.33724976,264,1984,0.348176191,0.142030778,911.887938,1506.566066,0,142.0145264,8.666717529,3178.777344,0.625999987,0.105988572,209917.3712,510.1790423,330,6.17,118,5.77,50,0.125986055,0.216812149,0.127361953,0.085295475,0.018928597,0.320582616,0.141249119,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"103b",1.5411415102851,91,25.75875092,88,1918.25,0.562624521,0.320533261,925.1415737,1070.834796,0,76.60005569,5.375593185,3178.777344,0.625999987,0.206531216,499843.9242,999.5371242,330,6.17,118,5.77,54.5,0.127923406,0.216812149,0.143033147,0.110311541,0.01914062,0.317599298,0.139445908,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"103c",1.5411415102851,188,25.12800026,164,1955.25,0.645154171,0.379489347,1011.762034,1152.204845,0,288.9576569,16.13469696,3178.777344,0.625999987,0.259427355,948666.8373,1259.203115,330,6.17,118,5.77,55.25,0.212910086,0.216812149,0.206574783,0.16497372,0.036030389,0.633957954,0.286532619,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"103d",1.5411415102851,59.5,25.70249939,121,1910.333333,0.562624521,0.320533261,925.1415737,1070.834796,0,102.6927333,5.136148453,3014.122437,0.625999987,0.206531216,499843.9242,999.5371242,330,6.17,118,5.77,51.33333333,0.127923406,0.216812149,0.179350838,0.110311541,0.01914062,0.317599298,0.139445908,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"103e",1.5411415102851,65.5,26.11600018,79,1876,0.52284652,0.285489262,1033.385022,712.4160703,0,370.8656349,23.49713516,2930.321594,0.625999987,0.382418019,2231752.852,1867.010412,330,6.17,118,5.77,52.5,0.165646943,0.216812149,0.183458507,0.129150532,0.025173544,0.573488189,0.242132492,0.34001556,0.000119657,2.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.323328674,0.225740895,0.033968907,0.000603679,2.35e-05,0,0,0.076191448,"FALSE"
"104a",0.3,549.5,24.26087475,21.5,1639.090909,0.025739678,0.014464216,997.7360768,19.89919565,0.5,3.470480538,0.346548089,943.0637207,0.319999993,0,0,0.063211994,279.875,5.324545455,144.9090909,5.277272727,102.6681526,0.015067851,0.007502681,0.031775687,0.032238429,0.007987405,0.52841915,0.030566543,0.042287715,0.615654856,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.214942209,0.070347978,0.01105566,1e-06,1e-06,0,0.023466298,0.022237303,"FALSE"
"104b",0.3,549.5,24.26087475,21.5,1639.090909,0.025739678,0.014464216,997.7360768,19.89919565,0.5,3.470480538,0.346548089,943.0637207,0.319999993,0,0,0.063211994,279.875,5.324545455,144.9090909,5.277272727,102.6681526,0.015067851,0.007502681,0.031775687,0.032238429,0.007987405,0.52841915,0.030566543,0.042287715,0.615654856,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.214942209,0.070347978,0.01105566,1e-06,1e-06,0,0.023466298,0.022237303,"FALSE"
"104c",0.3,549.5,24.26087475,21.5,1639.090909,0.025739678,0.014464216,997.7360768,19.89919565,0.5,3.817028627,0.381165044,943.0637207,0.319999993,0,0,0.063211994,279.875,5.324545455,144.9090909,5.277272727,102.6681526,0.014629167,0.006337148,0.031775687,0.034552717,0.007551134,0.573922804,0.033947845,0.042287715,0.615654856,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.214942209,0.070347978,0.01105566,1e-06,1e-06,0,0.023466298,0.022237303,"FALSE"
"105a",0.383032246708284,1572,21.69375038,31,1884.5,0.196491929,0.053051709,833.8440811,1305.241561,0,16.18499947,2.588846207,652.3522339,0.268987507,0,0,0.100000001,429,5.324545455,144.9090909,5.277272727,66,0.270247912,0.334646016,0.411768407,0.110269373,0.09363977,0.293857949,0.050897762,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.337791696,0.002424508,0.106260986,1e-06,1e-06,0,0.01299029,0.540522516,"FALSE"
"105b",0.383032246708284,1441,22.04750061,25,1870.333333,0.213011123,0.054983204,739.8223069,581.2161936,1,9.534247756,1.52503562,652.3522339,0.268987507,0,0,0.100000001,429,5.324545455,144.9090909,5.277272727,64,0.188070543,0,0,0.10937206,0.092489525,0.417957355,0.078353936,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.3613635,1e-06,1e-06,1e-06,1e-06,0,0,0.638624489,"FALSE"
"105c",0.383032246708284,968,23.89075089,16,1964.5,0.208118248,0.052484996,593.5355039,825.1208299,0,4.251997471,0.680121899,652.3522339,0.268987507,0,0,0.100000001,429,5.324545455,144.9090909,5.277272727,57,0.07400378,0,0,0.10249911,0.085445225,0.572229254,0.104128464,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.3613635,1e-06,1e-06,1e-06,1e-06,0,0,0.638624489,"FALSE"
"105d",0.383032246708284,1556,21.96050072,31,1910.25,0.191851238,0.051235105,745.402642,1054.849952,0,6.227544308,0.996116877,652.3522339,0.268987507,0,0,0.100000001,429,5.324545455,144.9090909,5.277272727,71,0.256169358,0.334646016,0.313670665,0.101112915,0.089123112,0.083716335,0.012672223,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.3613635,1e-06,1e-06,1e-06,1e-06,0,0,0.638624489,"FALSE"
"105e",0.383032246708284,1373,23.04899979,28,1920.75,0.169777416,0.048427307,614.5036527,1057.674886,0,6.227544308,0.996116757,652.3522339,0.268987507,0,0,0.118540005,414.875,5.324545455,144.9090909,5.277272727,67,0.239294656,0.334646016,0.133497655,0.095828282,0.083977333,0.461160326,0.070419721,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.3613635,1e-06,1e-06,1e-06,1e-06,0,0,0.638624489,"FALSE"
"105f",0.383032246708284,1365,22.54500008,26,1891.25,0.213011123,0.054983204,739.8223069,581.2161936,1,3.665662289,0.586335659,652.3522339,0.268987507,0,0,0.100000001,429,5.324545455,144.9090909,5.277272727,67,0.193941437,0.345092475,0.081617177,0.104571304,0.087690806,0.415817536,0.07253789,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.3613635,1e-06,1e-06,1e-06,1e-06,0,0,0.638624489,"TRUE"
"106a",0.3,1059.5,22.51237965,219.5,1503,0.049971705,0.038470023,1224.541824,104.0965073,0,8.794239044,1.130706072,1606.719727,0.360000014,0.010452073,353752.8989,24.43900537,0,6.908181818,83.18181818,7.17,76.25,0.010538592,0.010627978,0.011499283,0.107413679,0.00103843,0.132727758,0.042287487,0.032630343,0.800730944,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.068376794,0.039543215,1e-06,0.036172837,1e-06,0,0,0.022537857,"TRUE"
"106b",0.3,1059.5,22.51237965,219.5,1503,0.049971705,0.038470023,1224.541824,104.0965073,0,11.2022357,1.443086386,1606.719727,0.360000014,0.010452073,353752.8989,24.43900537,0,7.02,78,7.04,76.25,0.011859696,0.011960288,0.011499283,0.105967256,0.001151177,0.44063219,0.149264697,0.032630343,0.800730944,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.068376794,0.039543215,1e-06,0.036172837,1e-06,0,0,0.022537857,"TRUE"
"107a",0.3,306.5,25.53162479,13,1457.797566,0.524301493,0.284354173,813.5792853,99.89921385,0.5,89.19495953,0.814342948,1919.59668,0.455000013,0.661664323,1675970.245,1054.776031,246.125,7.36,58,7.8,131.1190739,0.455498091,0.577213466,0.417893916,0.203700078,0.004665904,0.674228728,0.40875411,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.155494303,0.091371134,0.15120928,1e-06,1e-06,0,0,0.6019153,"FALSE"
"108a",0.3,497,23.53612518,303.5,1486.5,0.394376994,0.242019358,1206.72635,284.3577851,0,65.43755722,6.363006592,3268.627686,0.540085196,0.00150232,11339.5232,6.114943932,264,6.952727273,80,6.88,125,0.100109033,0.100109033,0.081619307,0.121923,0.020076345,0.669913315,0.285627275,0.01859027,0.552981555,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.009266743,0.343331158,0.053369645,0.006328105,1e-06,0,0,0.016125489,"FALSE"
"108b",0.3,497,23.53612518,303.5,1486.5,0.394376994,0.242019358,1206.72635,284.3577851,0,59.63844109,5.799116135,3268.627686,0.540085196,0.00150232,11339.5232,6.114943932,264,6.952727273,80,6.88,125,0.099392153,0.099392153,0.081619307,0.125296329,0.01915933,0.671378426,0.261372858,0.01859027,0.552981555,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.009266743,0.343331158,0.053369645,0.006328105,1e-06,0,0,0.016125489,"FALSE"
"109a",0.335668044158335,1575,9.649499893,17,1396,0.456579501,0.027383042,767.8652556,1671.368194,0,24.62363768,4.999366283,2028.754761,0.428000003,0.0266326,29512.714,92.77376186,242,6.54,106,6.71,57,0.699999988,0.699999988,0.699749649,0.261386095,0.469872559,0.546357776,0.177701523,1e-06,0.432681412,1e-06,0.033577703,1e-06,0.045434747,0.332085878,6.24e-06,0.034211241,0.05269596,0.0073937,0.013529373,1e-06,0,0.040719692,0.007660045,"TRUE"
"10a",0.3,7.5,27.83774948,213.5,1564.5,0.155919242,0.108782883,1172.72426,59.26109614,0,19.98795795,4.204250813,23522.80664,0.531585991,0.007378292,76333.15158,35.27274547,264,6.952727273,80,6.88,91.75,0.08504613,0.092970163,0.109009638,0.215890402,0.02195842,0.766556789,0.216395781,0.019663174,0.567549467,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.019709095,0.323830158,0.047310047,1e-06,1e-06,0,0,0.021930052,"TRUE"
"110a",1.1962193627451,21,23.33625031,154,1714.25,0.077083996,0.055765367,1207.369494,781.4276803,1,6.859230995,0.886428356,5160.67334,0.648000002,0.087154088,17798.95836,441.3067293,0,7.14,67,7.49,108.25,0.01296273,0.00644609,0.006892117,0.054274532,0.021077249,0.231808427,0.093746397,0.229063779,0.040167086,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.501645207,0.016687898,1e-06,0.013304715,1e-06,0,0,0.199123293,"FALSE"
"110b",1.1962193627451,91,22.94149971,143,1684.5,0.064387082,0.04343009,1191.818527,222.26185,1,6.859231234,0.886428356,5160.67334,0.648000002,0.1725266,53102.20767,1391.156762,0,7.14,67,7.49,110,0.00633008,0.00644609,0.004788984,0.084088022,0.037438386,0.143654974,0.055161641,0.229063779,0.040167086,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.501645207,0.016687898,1e-06,0.013304715,1e-06,0,0,0.199123293,"FALSE"
"110c",1.1962193627451,91,22.94149971,143,1710.333333,0.064387082,0.04343009,1191.818527,222.26185,1,6.859230995,0.886428356,5160.67334,0.648000002,0.1725266,53102.20767,1391.156762,0,7.14,67,7.49,108,0.00633008,0.00644609,0.005536596,0.084088022,0.037438386,0.143654974,0.055161641,0.229063779,0.040167086,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.501645207,0.016687898,1e-06,0.013304715,1e-06,0,0,0.199123293,"FALSE"
"110d",1.1962193627451,13.5,23.36513996,160,1730.129032,0.077083996,0.055765367,1207.369494,781.4276803,1,6.859230757,0.886427879,5160.67334,0.648000002,0.087154088,17798.95836,441.3067293,0,7.14,67,7.49,109.4918033,0.01296273,0.00644609,0.009177037,0.054274532,0.021077249,0.231808427,0.093746397,0.229063779,0.040167086,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.501645207,0.016687898,1e-06,0.013304715,1e-06,0,0,0.199123293,"FALSE"
"111a",1.35057024826059,161,26.08724976,283,1167.75,0.019738133,0.009125949,975.6535457,3.750098775,0,1.074328117,0.108168297,7771.774902,0.612999976,0,0,0.919999957,173,7.720909091,46.18181818,7.69,183,0.01429596,0.017358098,0.010140767,0.047760579,0.040260013,0.051107443,0.008731438,0.033384595,0.782598197,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.08974541,1e-06,1e-06,0.043718345,1e-06,0,0.042169943,0.008374487,"FALSE"
"111b",1.35057024826059,161,26.08724976,283,1167.75,0.019738133,0.009125949,975.6535457,3.750098775,0,1.182496414,0.122019321,7771.774902,0.612999976,0,0,0.919999957,173,7.720909091,46.18181818,7.69,183,0.01429596,0.017358098,0.010140767,0.047760579,0.040260013,0.051107443,0.008731438,0.033384595,0.782598197,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.08974541,1e-06,1e-06,0.043718345,1e-06,0,0.042169943,0.008374487,"FALSE"
"112a",0.3,251,25.2619257,42,1525,0.471925372,0.213678004,1063.498738,129.8549322,0,11.31544018,1.110702991,4642.817871,0.510275543,0.015654,49929.4965,57.171274,282,7.720909091,46.18181818,7.69,47,0.026471414,0.101290658,0.101539262,0.033925549,0.014317928,0.161105351,0.058435699,0.025929442,0.690120697,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.126510143,0.07867121,5.99e-05,0.049528964,1e-06,0,0,0.029172668,"FALSE"
"113a",0.3,245,24.93108304,270,1560.573444,0.147208791,0.045788815,788.3693241,1089.131463,0,6.78826177,0.186424506,16031.35547,0.58899343,8.4e-07,0.252,1.096104034,77,7.012727273,76.63636364,7.511818182,117.2740864,0.081814408,0.085223339,0.100008734,0.143922629,0.112536488,0.852744949,0.240221569,0.032034326,0.735468566,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.113488048,0.027309308,0.018728931,0.030605352,1e-06,0,0,0.042358454,"TRUE"
"114a",0.383032246708284,66.25,24.61310923,0,2537.115615,0.192280045,0.065531926,643.1094512,1278.22087,0,4.970291362,0.765131977,1863.58606,0.367000014,0.05201931,12674.6696,98.43966492,323.3125,6.282727273,114.8181818,6.610909091,61.65280313,0.295823425,0,0,0.106470406,0.105329825,0.821849779,0.201582117,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0,0.002852534,0.997134477,"TRUE"
"115a",1.1962193627451,1025.571429,21.6255,243.2857143,1534.625167,0.198338762,0.082606389,945.0531477,1723.22541,1,405.6312203,47.84572711,16031.35547,0.694321334,0.506250918,40783175.54,5596.652495,30,7.012727273,76.63636364,7.511818182,125.6934696,0.074698106,0.079568595,0.050742023,0.108447943,0.108447943,0.786967315,0.277371742,0.023671107,0.624308467,1e-06,1e-06,1e-06,0.005981349,0.017437637,0.013249926,0.055378575,0.135686755,0.107054651,0.002903179,1e-06,0,0,0.014324359,"FALSE"
"116a",0.383032246708284,277.5,25.42724991,1,2476.603448,0.352099033,0.175453646,542.3112499,1993.348175,1,48.10210323,1.856953621,821.2261353,0.290281206,0.6785254,284097.7696,818.8733733,342,6.698181818,96.90909091,7.455454545,65.92173913,0.363481074,0.699999988,0.995450616,0.119369932,0.083812744,0.827658996,0.388099112,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.355354786,0.004234304,3.79e-06,1e-06,1e-06,0,0,0.640397131,"FALSE"
"117a",0.3,427,24.64450073,229,1639.637838,0.054021215,0.002200867,856.4487631,209.5559419,1,0.219587969,0.035409327,16031.35547,0.58899343,0,0,1.090000033,77,6.93,79,7.46,121.0706522,0.093449384,0.093449384,0.02357698,0.129562079,0.129562079,0.616954743,0.258117591,0.033246953,0.743646145,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.118813068,0.01754077,0.020216912,0.024437586,1e-06,0,0,0.042091589,"TRUE"
"117b",0.3,523,24.33799934,227,1642.5,0.055519907,0.003059921,848.8518991,366.7664779,1,0.009328621,0.001504271,16031.35547,0.58899343,0,0,1.090000033,77,6.93,79,7.46,120,0.091095486,0.093449384,0.022196731,0.130373542,0.130373542,0.371383454,0.166483227,0.034583624,0.750945628,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.116306923,0.025551878,0.0003101,0.029459924,1e-06,0,0,0.0428349,"TRUE"
"117c",0.3,427,24.64450073,229,1643.109489,0.054021215,0.002200867,856.4487631,209.5559419,1,0.219587972,0.03540932,16031.35547,0.58899343,0,0,1.090000033,77,6.93,79,7.46,121.1646489,0.093449384,0.093449384,0.02357698,0.129562079,0.129562079,0.616954743,0.258117591,0.033246953,0.743646145,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.118813068,0.01754077,0.020216912,0.024437586,1e-06,0,0,0.042091589,"FALSE"
"117d",0.3,523,24.33799934,227,1642.5,0.055519907,0.003059921,848.8518991,366.7664779,1,0.009328621,0.001504271,16031.35547,0.58899343,0,0,1.090000033,77,6.93,79,7.46,120,0.091095486,0.093449384,0.022196731,0.130373542,0.130373542,0.371383454,0.166483227,0.034583624,0.750945628,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.116306923,0.025551878,0.0003101,0.029459924,1e-06,0,0,0.0428349,"FALSE"
"117e",0.3,435.5,24.63003159,231.25,1632.09284,0.054021215,0.002200867,856.4487631,209.5559419,1,0.554955174,0.053867973,16031.35547,0.58899343,0,0,1.090000033,77,6.93,79,7.46,120.43309,0.093449384,0.093449384,0.024356218,0.129562079,0.129562079,0.616954743,0.258117591,0.033915289,0.747295886,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.117559996,0.021546324,0.010263506,0.026948755,1e-06,0,0,0.042463245,"FALSE"
"119a",0.3,103,26.09525108,117,1582.75,0.009813572,0.006304697,1168.503759,59.37471319,0,0.02796641,0.00328695,2928.071045,0.541000009,0,0,0.680000007,118,6.68,98,7.15,169.5,0.004450772,0.011126088,0.014564966,1.1e-05,0,0.410377006,0.071481478,0.035745598,0.726386487,3.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.140696526,0.002592132,1e-06,0.051953491,1e-06,0,0.015782181,0.026832828,"TRUE"
"119b",0.3,116,25.76949883,145,1587.25,0.009831949,0.006429369,1175.686423,37.58243588,1,0.300281376,0.001409605,2928.071045,0.541000009,0,0,0.680000007,118,6.94,81,7.09,170,0.006898237,0,0,6.59e-06,0,0.183253479,0.032052795,0.035745598,0.726386487,3.75e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.140696526,0.002592132,1e-06,0.051953491,1e-06,0,0.015782181,0.026832828,"TRUE"
"119c",0.3,338,25.77625084,55.5,1558.75,0.170516662,0.070293122,1175.422428,193.8922331,1,0.609446466,0.112572283,8164.354004,0.595734477,3.6e-06,0.7884,1.103344032,77,6.94,81,7.09,180,0.087281066,0.093449384,0.008540329,0.134748177,0.120362904,0.771144551,0.300971854,0.037783835,0.7458148,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.14047268,0.000100461,1e-06,0.042154782,1e-06,0,0,0.033665441,"FALSE"
"119d",1.1962193627451,1268,21.32893801,79.75,1609,0.098247815,0.057413949,1318.248637,61.05770774,1,1.475704849,1.116534948,23328.86914,0.628876746,0,0,1.257911991,47,4.14,158,5.44,186.25,0.013836761,0.015151759,0.009821633,0.090207297,0.090207297,0.000901402,0.000265539,0.038230393,0.788725376,1e-06,1e-06,1e-06,0.006636873,1e-06,1e-06,0.10046716,1e-06,1e-06,0.04972722,1e-06,0,0.012164336,0.004040616,"TRUE"
"11a",0.3,236.1730769,28.20525488,24.88461538,1455.180633,0.038997376,0.019899795,1112.048141,524.5545472,0.25,1.635312383,0.376714872,8862.653466,0.592000008,6.48e-06,1.0125,1.019689958,0,6.84,87.72727273,6.964545455,146.1077838,0.015080496,0.015080496,0.014173984,0.092897561,0.088168398,0.227636795,0.063053037,0.029221386,0.722516209,1e-06,1e-06,1e-06,0.013324554,0.008938315,0.030890883,0.070883255,0.020269302,0.058573877,0.027554318,1e-06,0,0.004740249,0.0130839,"FALSE"
"120a",0.3,157.5,26.77887535,302,1501.403846,0.121199056,0.069222303,1203.84117,16.86023553,0,5.310814857,0.541359901,23522.80664,0.531585991,3.75e-07,0.0175,0.430537477,264,6.952727273,80,6.88,92.46153846,0.097235866,0.097235866,0.061700255,0.206409881,0.010178516,0.723073915,0.275868386,0.023261385,0.665122092,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.050935268,0.180571288,0.026023624,0.021331361,1e-06,0,0.012542793,0.020205202,"FALSE"
"120b",0.3,157.5,26.77887535,302,1501.403846,0.121199056,0.069222303,1203.84117,16.86023553,0,3.969106913,0.404592752,23522.80664,0.531585991,3.75e-07,0.0175,0.430537477,264,6.92,82,6.75,92.46153846,0.099392153,0.099392153,0.061700255,0.216044455,0.022193652,0.779614672,0.204998464,0.023261385,0.665122092,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.050935268,0.180571288,0.026023624,0.021331361,1e-06,0,0.012542793,0.020205202,"TRUE"
"121f",1.1962193627451,123,22.03849983,55,1724,0.202059347,0.09589192,1024.149197,465.0111055,0,79.74780273,8.995819092,23012.02539,0.660279274,0.279282401,213478.454,3053.837864,75,6.914545455,83.09090909,6.908181818,101,0.04075875,0.057689138,0.051016711,0.201155647,0.074468874,0.705455825,0.351794641,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.375560731,1e-06,1e-06,1e-06,1e-06,0,0,0.624427259,"FALSE"
"121g",1.5411415102851,30,23.28849983,60,1863.666667,0.409736144,0.180873834,913.9153136,2130.496629,0,4.521784544,0.511734128,17494.82715,0.655900836,0.0008515,826.341,11.70929981,75,6.914545455,83.09090909,6.908181818,90,0.053534789,0.057689138,0.04905168,0.235307387,0.122243842,0.696838987,0.383659711,0.042518925,0.454453558,1e-06,1e-06,1e-06,5.96e-06,1e-06,1e-06,0.158163384,0.212073043,0.074847609,0.000106236,1e-06,0,0,0.057825264,"FALSE"
"121j",1.5411415102851,86,23.01250076,37,1853.25,0.155273587,0.055497142,957.3243158,862.3429817,1,4.189131618,0.340946078,20484.00391,0.655900836,0.00253916,2462.8416,37.09439955,75,6.914545455,83.09090909,6.908181818,89,0.057689138,0.057689138,0.048068345,0.208994827,0.154408782,0.384285056,0.13019079,0.042518925,0.454453558,1e-06,1e-06,1e-06,5.96e-06,1e-06,1e-06,0.158163384,0.212073043,0.074847609,0.000106236,1e-06,0,0,0.057825264,"FALSE"
"121l",1.1962193627451,119,22.57074928,61,1750.25,0.094150193,0.022218248,1110.408007,508.4888777,1,5.848105431,0.753422022,23012.02539,0.655900836,0.13925228,51633.4092,1261.86016,0,6.914545455,83.09090909,6.908181818,106,0.068169432,0.057689138,0.047008418,0.113330977,0.069294733,0.226110781,0.089543672,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.375560731,1e-06,1e-06,1e-06,1e-06,0,0,0.624427259,"FALSE"
"122a",1.1962193627451,304.5,25.80950022,269.25,1566.031771,0.18990609,0.074679556,800.5571524,1888.913476,1,0.575347892,0.006389261,8164.354004,0.610901654,0,0,1.090000033,30,7.012727273,76.63636364,7.511818182,125.6539683,0.07866554,0.07866554,0.051112954,0.114040708,0.096000616,0.715511195,0.274636055,0.030903811,0.737954855,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.094173804,0.071496293,1e-06,0.020596273,1e-06,0,0.015470825,0.029396109,"TRUE"
"122b",1.1962193627451,274.5,25.46875,246.5,1565.165279,0.191216068,0.081302456,773.7587054,3611.108186,0.25,1.829711013,0.355381325,8164.354004,0.610901654,0,0,1.090000033,30,7.012727273,76.63636364,7.511818182,125.5819477,0.07866554,0.07866554,0.088591367,0.097322758,0.093666485,0.763219083,0.319628241,0.029194165,0.72624445,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.07324288,0.101534911,0.007887205,0.017985892,1e-06,0,0.014292089,0.029611381,"TRUE"
"123a",0.383032246708284,806,22.78524971,42,2013.416667,0.29830899,0.144488715,894.2273507,3529.575919,0.5,88.68228062,13.61292338,652.3522339,0.268987507,0,0,0.100000001,525,5.324545455,144.9090909,5.277272727,94.73411371,0.352889538,0.352889538,0.185966641,0.153112559,0.133142301,0.677971143,0.218755852,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.300783932,0.00123172,0.00043447,1e-06,1e-06,0,0,0.697539866,"FALSE"
"123b",0.383032246708284,592,23.08775043,44.5,2114.459098,0.332474928,0.173640706,882.5113728,2406.702972,1,6.581536106,1.010280236,652.3522339,0.268987507,0,0,0.100000001,525,5.324545455,144.9090909,5.277272727,101.4173623,0.352889538,0.352889538,0.245806172,0.153112559,0.133142301,0.677971143,0.218755852,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.300783932,0.00123172,0.00043447,1e-06,1e-06,0,0,0.697539866,"FALSE"
"123c",0.383032246708284,458,25.46725082,47,2153.182566,0.23351882,0.089940899,679.154972,3825.754476,1,6.998281369,1.074251377,652.3522339,0.268987507,0,0,0.117387999,525,5.324545455,144.9090909,5.277272727,106.718543,0.345975862,0.352889538,0.042209063,0.145079917,0.13255671,0.281994396,0.082537398,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.300783932,0.00123172,0.00043447,1e-06,1e-06,0,0,0.697539866,"FALSE"
"123d",0.383032246708284,806,22.78524971,42,2013.416667,0.29830899,0.144488715,894.2273507,3529.575919,0.5,66.64997749,10.23091841,652.3522339,0.268987507,0,0,0.100000001,525,5.36,133,5.6,94.73411371,0.345092475,0.345092475,0.185966641,0.110139562,0.086892982,0.814173935,0.236665027,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.300783932,0.00123172,0.00043447,1e-06,1e-06,0,0,0.697539866,"FALSE"
