"Case.Study.ID","weight","DEM","AvgTemp","AvgMonthlyPrec","ET","HANPP_Total","HANPP_LC","HANPP_NPP","Livestock","PA","Pop_dense","Pop_delta","GDP","HDI","Market_access","Market_density","Market_influence","Malnutrition","hf_score","hf_rank","pf_score","Mammals","HANPP_forest","HANPP_forest_harvest","HANPP_forest_new","HANPP_pasture","HANPP_pasture_harvest","HANPP_cropland","HANPP_cropland_harvest","tropical.broadleaf.evergreen","temperate.broadleaf.evergreen","broadleaf.deciduous","needleleaf.evergreen","needleleaf.deciduous","C3.grass","C3.crop","C3.pasture","C4.grass","C4.crop","C4.pasture","evergreen.shrubs","deciduous.shrubs","urban","lake","bare.soil","Fire_development_stage"
"289a",3,240.95,-24.14424372,18.8,695.4121839,0.060053251,0.024915451,510.6393374,17.24082411,0.375,0.482004786,-0.002258843,26857.85862,0.855705308,0,0,3.960000038,0,8.653636364,5.909090909,9.1,36.61880735,0.082545766,0.100078851,0.089112751,0.029909249,0.029909249,0,0,2.43e-05,5.84e-06,1.11e-05,0.600169122,1e-06,0.216525197,1e-06,1e-06,0.000696458,1e-06,1e-06,0.000272582,0.00030994,0,0.105429739,0.076550655,"FALSE"
"289b",1.35856178819113,465.4927536,-20.20079712,21.15942029,779.7184607,0.02796867,0.005960479,556.7896488,28.51308216,0,3.700190582,1.006329161,38755.28906,0.858522832,1.64e-05,16.95695652,4.534933033,0,8.653636364,5.909090909,9.1,40.08026103,0.100078851,0.100078851,0.006750137,0.049936791,0.038630549,0.252508211,0.041199773,1.72e-05,2.97e-06,1e-06,0.479750365,0.208490322,0.175031878,1e-06,1e-06,0.002943868,1e-06,1e-06,0.000693725,0.000270115,0,0.083497331,0.049297253,"FALSE"
"28a",0.335668044158335,205,25.94349957,236,1297.52286,0.055570882,0.018264196,1024.66129,4140.699505,0,3.31717273,0.99535828,4922.685465,0.554715852,0.02919992,153624.4128,265.0604171,83.25,7.012727273,76.63636364,7.511818182,158.40599,0.031380754,0.079568595,0.066571891,0.134403159,0.037398475,0.42801138,0.128204943,0.030646123,0.788213253,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.065236501,0.02955698,0.02196363,0.037969138,1e-06,0,0,0.026407355,"FALSE"
"28b",0.335668044158335,207.5,24.51000023,345,1292.458627,0.26260681,0.155503721,1012.314169,13737.06295,0,34.90927021,-1.356624678,8164.354004,0.581409812,0.01508188,57419.0352,175.0103957,77,7.012727273,76.63636364,7.511818182,127.8261253,0.079568595,0.079568595,0.040751994,0.27460511,0.078612617,0.801716094,0.296287205,0.020604817,0.656800508,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.003411452,0.117589869,0.163168252,1e-06,1e-06,0,0,0.038417075,"FALSE"
"290a",0.383032246708284,967.8571429,23.96182142,146.5714286,2255.036741,0.156553398,0.058700929,731.5229306,522.0643801,0,7.378839495,0.221973228,2526.072266,0.499000013,0.00037879,12.44331667,0.157928833,189,5.468181818,139.6363636,5.812727273,101.4920064,0.102681317,0.104367226,0.076630138,0.061936963,0.05876947,0.754830821,0.273325073,0.071096841,0.551974565,3.5e-06,1.37e-06,1e-06,0.000658851,7.1e-06,1e-06,0.244221404,0.04926702,0.002853935,6.74e-05,3.34e-05,0,0.006091188,0.073721413,"FALSE"
"291a",3,353.6666667,-11.63591671,40.5,562.5415094,0.168300025,0.025032609,501.9208161,4.621305304,0,2.169277202,-0.089356693,30066.77539,0.808775604,7.2e-06,0.882,3.970199846,0,8.542727273,9.818181818,9.345454545,26.29489603,0.125919968,0.125919968,0.129153669,0.231091536,0.067982267,0.22090827,0.054810545,1e-06,1e-06,6.12e-06,0.193494201,0.370117381,0.207988858,1e-06,1e-06,6.52e-05,1e-06,1e-06,1.27e-05,0.085444991,0,0.08306505,0.059799513,"FALSE"
"293a",1.35057024826059,395,-2.868499994,32,903.5,0.629223908,0.165674495,648.5192776,335.5931916,1,3.559115887,-0.083085775,12276.23242,0.68553853,0.300236199,1093474.926,5751.21343,0,7.958181818,37.81818182,8.398181818,72,0.23789309,0.294776648,0.133903742,0.271963101,0.076660114,0.738729122,0.816600399,0.036790784,0.000246472,0.060787056,0.032787777,0.001571694,0.255999684,0.437348485,0.06790857,0.016562043,0.011464024,0.006046805,0.003341547,0.004920611,0.016741775,0,0.047482662,"FALSE"
"294a",0.335668044158335,285.5588235,25.4706914,309.6176471,1399.06267,0.053974547,0.017095536,963.0390138,1132.329852,0.5,0.890529064,0.117834307,12877.99414,0.544334471,0,0,1.090000033,77,6.99,78,7.48,132.7212211,0.093449384,0.093449384,0.047166735,0.188736997,0.077372294,0.657836689,0.262229414,0.03477091,0.789110184,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.112168133,0.001925319,1e-06,0.03965136,1e-06,0,0,0.022366108,"FALSE"
"295a",0.335668044158335,185.53125,24.65778118,330.96875,1270.126934,0.03862591,0.012167974,1003.175038,3539.408673,0.5,0.092431429,0.010885613,8164.354004,0.600303023,0.00030415,1017.4269,4.575384246,55.1875,7.012727273,76.63636364,7.511818182,130.5760903,0.087926179,0.087926179,0.017971365,0.078323417,0.078323417,0.206323491,0.052581752,0.029636577,0.738796249,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.077895131,0.050715081,0.046443485,0.026888987,1e-06,0,0,0.029617474,"FALSE"
"296a",1.1962193627451,375.8897912,24.61890688,310.0846868,1444.438001,0.125924785,0.057672307,907.4478887,1978.725714,0.113402062,2.582171534,0.398291942,8164.354004,0.610901654,0.001382287,12799.46126,16.44597835,30,7.012727273,76.63636364,7.511818182,125.9359216,0.07866554,0.07866554,0.103134044,0.212491257,0.071575032,0.81752883,0.290165327,0.028407799,0.710705198,1e-06,1e-06,1e-06,1e-06,0.00150393,1e-06,0.061639844,0.141509769,0.008159768,0.019808301,1e-06,0,0.001838213,0.026421178,"FALSE"
